device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 2000, 800, 135757824, 3.8297972679138184, 174.23294494339686
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 2000, 1000, 136167424, 3.8429148197174072, 174.16210190524518
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 4000, 200, 138625024, 3.8557989597320557, 176.7129783167298
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 4000, 400, 139034624, 3.86270809173584, 176.9181019261796
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 4000, 600, 139444224, 3.8816654682159424, 176.57272514001986
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 4000, 800, 139853824, 3.8878872394561768, 176.8079868028663
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 4000, 1000, 140263424, 3.9085183143615723, 176.38980457416946
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 6000, 200, 142721024, 3.939547300338745, 178.0667482033991
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 6000, 400, 143130624, 3.943290948867798, 178.40825143445076
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 6000, 600, 143540224, 3.9569075107574463, 178.3031084468651
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 6000, 800, 143949824, 3.970263719558716, 178.2103721320158
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 6000, 1000, 144359424, 3.9817686080932617, 178.20107361401466
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 8000, 200, 146817024, 3.999462604522705, 180.43300006074685
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 8000, 400, 147226624, 4.003691673278809, 180.7452624572788
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 8000, 600, 147636224, 4.016740322113037, 180.65931825611773
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 8000, 800, 148045824, 4.031331777572632, 180.50482427991864
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 8000, 1000, 148455424, 4.049581289291382, 180.18853010170957
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 2000, 200, 134529024, 7.034745216369629, 187.991757605129
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 2000, 400, 134938624, 7.07111120223999, 187.59436974338496
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 2000, 600, 135348224, 7.109574794769287, 187.14581667929087
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 2000, 800, 135757824, 7.134953737258911, 187.04448020181636
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 2000, 1000, 136167424, 7.155956983566284, 187.05817376539025
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 4000, 200, 138625024, 7.163306474685669, 190.23888489838737
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 4000, 400, 139034624, 7.178676128387451, 190.3924823081017
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 4000, 600, 139444224, 7.210883378982544, 190.1004949830459
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 4000, 800, 139853824, 7.231732606887817, 190.1092181063446
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 4000, 1000, 140263424, 7.2375757694244385, 190.5120729947469
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 6000, 200, 142721024, 7.297311067581177, 192.2632516739691
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 6000, 400, 143130624, 7.314916133880615, 192.35097989061424
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 6000, 600, 143540224, 7.357593536376953, 191.78251843257394
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 6000, 800, 143949824, 7.368979454040527, 192.0326089488127
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 6000, 1000, 144359424, 7.407623767852783, 191.57437339733465
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 8000, 200, 146817024, 7.389376163482666, 195.31690372755045
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 8000, 400, 147226624, 7.414027452468872, 195.2105807333705
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 8000, 600, 147636224, 7.440902948379517, 195.04664238708688
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 8000, 800, 148045824, 7.472496032714844, 194.76084856760434
NVIDIA A100 80GB PCIe, f16, 32, 2048, 16384, 8000, 1000, 148455424, 7.503321409225464, 194.49735930214473
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 2000, 200, 529104896, 2.264631748199463, 8.9717138437867
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 2000, 400, 529924096, 2.272307872772217, 8.95525009186986
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 2000, 600, 530743296, 2.27508807182312, 8.958133453738451
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 2000, 800, 531562496, 2.2785964012145996, 8.958146267377337
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 2000, 1000, 532381696, 2.281186819076538, 8.961763655409795
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 4000, 200, 537296896, 2.3019087314605713, 8.963083776700728
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 4000, 400, 538116096, 2.3040366172790527, 8.968459065031139
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 4000, 600, 538935296, 2.30495285987854, 8.97854169889207
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 4000, 800, 539754496, 2.3081698417663574, 8.979656640231777
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 4000, 1000, 540573696, 2.3133912086486816, 8.972987296223609
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 6000, 200, 545488896, 2.327638864517212, 8.999150996194027
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 6000, 400, 546308096, 2.3305797576904297, 9.00129284019403
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 6000, 600, 547127296, 2.334444999694824, 8.9998642800094
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 6000, 800, 547946496, 2.3374335765838623, 9.001815348760173
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 6000, 1000, 548765696, 2.3415255546569824, 8.999518576463707
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 8000, 200, 553680896, 2.355790138244629, 9.025144498755088
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 8000, 400, 554500096, 2.358201265335083, 9.029256323197863
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 8000, 600, 555319296, 2.3636693954467773, 9.02167663865247
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 8000, 800, 556138496, 2.3650288581848145, 9.029791823678103
NVIDIA A100 80GB PCIe, f16, 32, 4096, 64, 8000, 1000, 556957696, 2.36666202545166, 9.036852451426144
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 2000, 200, 529104896, 2.336566686630249, 17.391010599146806
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 2000, 400, 529924096, 2.340327262878418, 17.389948499230172
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 2000, 600, 530743296, 2.342634916305542, 17.399674549836543
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 2000, 800, 531562496, 2.3447649478912354, 17.41070026209453
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 2000, 1000, 532381696, 2.345221757888794, 17.43413564848002
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 4000, 200, 537296896, 2.36751127243042, 17.429442509238463
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 4000, 400, 538116096, 2.3728935718536377, 17.416422153529737
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 4000, 600, 538935296, 2.3742504119873047, 17.43296769533058
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 4000, 800, 539754496, 2.3769302368164062, 17.43978205617056
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 4000, 1000, 540573696, 2.378432273864746, 17.455220528663617
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 6000, 200, 545488896, 2.394426107406616, 17.49627899696373
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 6000, 400, 546308096, 2.3988759517669678, 17.49005059719559
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 6000, 600, 547127296, 2.400916337966919, 17.501391309778725
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 6000, 800, 547946496, 2.4049739837646484, 17.498023337003463
NVIDIA A100 80GB PCIe, f16, 32, 4096, 128, 6000, 1000, 548765696, 2.4072091579437256, 17.5079117299475
